accession	message	sample_name	sample_title	bioproject_number	organism	collection_date	env_broad_scale	env_local_scale	env_medium	geo_loc_name	host	lat_lon	isolation_source	sample_id_unique
SAMN13502367	Successfully loaded	13.aes.85	13.aes.85	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.85
SAMN13502368	Successfully loaded	13.aes.86	13.aes.86	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.86
SAMN13502369	Successfully loaded	13.aes.87	13.aes.87	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.87
SAMN13502370	Successfully loaded	13.aes.88	13.aes.88	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.88
SAMN13502371	Successfully loaded	13.aes.89	13.aes.89	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.89
SAMN13502372	Successfully loaded	13.aes.98	13.aes.98	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.98
SAMN13502373	Successfully loaded	13.tp.198	13.tp.198	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.198
SAMN13502374	Successfully loaded	13.tp.199	13.tp.199	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.199
SAMN13502375	Successfully loaded	13.tp.200	13.tp.200	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.200
SAMN13502376	Successfully loaded	13.tp.201	13.tp.201	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.201
SAMN13502377	Successfully loaded	13.tp.211	13.tp.211	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.211
SAMN13502378	Successfully loaded	13.tp.219	13.tp.219	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.219
SAMN13502379	Successfully loaded	13.tp.223	13.tp.223	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.223
SAMN13502380	Successfully loaded	13.tp.229	13.tp.229	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.229
SAMN13502381	Successfully loaded	13.tp.232	13.tp.232	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.232
SAMN13502382	Successfully loaded	13.tp.242	13.tp.242	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.242
SAMN13502383	Successfully loaded	13.tp.253	13.tp.253	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.253
SAMN13502384	Successfully loaded	13.tp.255	13.tp.255	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.255
SAMN13502385	Successfully loaded	13.tp.260	13.tp.260	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.260
SAMN13502386	Successfully loaded	13.tp.261	13.tp.261	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.261
SAMN13502387	Successfully loaded	13.tp.263	13.tp.263	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.263
SAMN13502388	Successfully loaded	13.tp.273	13.tp.273	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.273
SAMN13502389	Successfully loaded	13.tp.274	13.tp.274	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.274
SAMN13502390	Successfully loaded	13.tp.275	13.tp.275	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.275
SAMN13502391	Successfully loaded	13.tp.284	13.tp.284	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.284
SAMN13502392	Successfully loaded	13.tp.287	13.tp.287	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.287
SAMN13502393	Successfully loaded	13.tp.289	13.tp.289	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.289
SAMN13502394	Successfully loaded	13.tp.290	13.tp.290	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.290
SAMN13502395	Successfully loaded	13.tp.305	13.tp.305	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.305
SAMN13502396	Successfully loaded	13.tp.307	13.tp.307	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.307
SAMN13502397	Successfully loaded	13.tp.319	13.tp.319	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.319
SAMN13502398	Successfully loaded	13.tp.321	13.tp.321	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.321
SAMN13502399	Successfully loaded	13.tp.322	13.tp.322	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.322
SAMN13502400	Successfully loaded	13.tp.329	13.tp.329	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.329
SAMN13502401	Successfully loaded	13.tp.332	13.tp.332	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.332
SAMN13502402	Successfully loaded	13.tp.334	13.tp.334	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.tp.334
